method,checkpoint,trained_games,starts,elo,error,gain,gain_error
ctt-mes,0,0,3,-109.251745161911,32.51441081100643,0.0,0.0
ctt-mes,100,100,3,-93.57503239149956,43.09010710616459,15.676712770411449,48.46702012433195
ctt-mes,200,200,3,-67.2594497070395,41.98020892569088,41.99229545487152,59.14203464145306
ctt-mes,400,400,3,-101.01208147566604,58.900524647210716,8.239663686244967,75.81730599178162
ctt-mes,700,700,3,-47.68441069685001,56.27071450828378,61.567334465060995,73.28148230051757
ctt-mes,1000,1000,3,-39.28806337100984,64.00732780911711,69.96368179090116,80.85548891716026
spsa-r02,0,0,3,-109.251745161911,32.51441081100643,0.0,0.0
spsa-r02,200,200,3,-39.49714014389005,50.54302205950218,69.75460501802095,65.0659906218689
spsa-r02,400,400,3,-3.391472496445963,25.58042461855679,105.86027266546505,38.33817277267385
